"","LibID","Library","Year","Upper.Tier.Code","Legal.Name","New.Legal.Name","Mailing.Address","Postal.Code","City","Street.Address","Library.Web.Site.Address","Library.Service.Type","Population..Resident.","Households..Resident.","Population..Contracting.","Households..Contracting.","Date.year.starts","Date.year.ends","Ontario.Library.Service..OLS..Region","X..of.Active.Library.Cardholders","Net.Balance.brought.forward.amount","Net.Balance.brought.forward.type","Provincial.Operating.Funding","Local.Operating.Grant","Contract.Revenue","Project.Grants","Donations","Self.generated.Revenue","Debt.Services.and.Reserve.Fund.Revenues","Other.operating.revenue","Total.Operating.Revenues","Provincial.capital.revenues","Federal.capital.revenues","Local.capital.revenues","Other.capital.revenues","Total.Capital.Revenues","General.materials.expenditure","Electronic.materials.expenditure","Staffing.expenditure","Staff.Training.expenditure","Facilities.Utilities","Telephone.and.Fax","Dedicated.Internet.Connectivity.Costs","Computer.Services","Debt.Charges.and.Transfers.to.Reserve.Funds","Funds.returned.to.government.sources","Contract.payment.made.to.library.boards.for.library.services","Other.expenditures","Total.Operating.Expenditures","Total.Capital.Expenditures","Titles.Held..Reference..English.Language.","Titles.Held..Reference..French.Language.","Titles.Held..Reference..Other.Language.","Volumes.Held..Reference..English.Language.","Volumes.Held..Reference..French.Language.","Volumes.Held..Reference..Other.Language.","X..of.Databases..Reference..English.Language.","X..of.Databases..Reference..French.Language.","X..of.Databases..Reference..Other.Language.","X..of.CD.ROM.Titles..Reference..English.Language.","X..of.CD.ROM.Titles..Reference..French.Language.","X..of.CD.ROM.Titles..Reference..Other.Language.","X..of.copies.of.CD.ROM..Reference..English.Language.","X..of.copies.of.CD.ROM..Reference..French.Language.","X..of.copies.of.CD.ROM..Reference..Other.Language.","Titles.Held..Circulating..English.Language.","Titles.Held..Circulating..French.Language.","Titles.Held..Circulating..Other.Language.","Volumes.Held..Circulating..English.Language.","Volumes.Held..Circulating..French.Language.","Volumes.Held..Circulating..Other.Language.","X..of.CD.ROM.Titles..Circulating..English.Language.","X..of.CD.ROM.Titles..Circulating..French.Language.","X..of.CD.ROM.Titles..Circulating..Other.Language.","X..of.copies.of.CD.ROMs..Circulating..English.Language.","X..of.copies.of.CD.ROMs..Circulating..French.Language.","X..of.copies.of.CD.ROMs..Circulating..Other.Language.","Titles.Held..Periodicals..English.Language.","Titles.Held..Periodicals..French.Language.","Titles.Held..Periodicals..Other.Language.","X..of.Database.Subscriptions..Periodicals..English.Language.","X..of.Database.Subscriptions..Periodicals..French.Language.","X..of.Database.Subscriptions..Periodicals..Other.Language.","X..of.CD.ROM.Titles..Periodicals..English.Language.","X..of.CD.ROMs.Titles..Periodicals..French.Language.","X..of.CD.ROM.Titles..Periodicals..Other.Language.","X..of.copies.of.CD.ROMs..Periodicals..English.Language.","X..of.copies.of.CD.ROMs..Periodicals..French.Language.","X..of.copies.of.CD.ROMs..Periodicals..Other.Language.","X..of.individual.electronic.periodical.titles..English.Language.","X..of.individual.electronic.periodical.titles..French.Language.","X..of.individual.electronic.periodical.titles..Other.Language.","X..of.hours.per.week.in.an.FTE","Librarians..Full.Time....of.people.","Library.Technicians..Full.Time....of.people.","EXCEL.Graduates..Full.Time....of.people.","Other.staff..Full.Time....of.people.","Volunteers..Full.Time....of.people.","Librarians..Part.Time....of.people.","Librarians..Part.Time..Hours.worked.","Library.Technicians..Part.Time....of.people.","Library.Technicians..Part.Time..Hours.worked.","EXCEL.Graduates..Part.Time....of.people.","EXCEL.Graduates..Part.Time..Hours.worked.","Other.staff..Part.Time....of.people.","Other.staff..Part.Time..Hours.worked.","Volunteers..Part.Time....of.people.","Volunteers..Part.Time..Hours.worked.","X..of.Public.access.workstations","Workstations.with.internet.access","Workstations.with.OPAC.access","Workstations.with.CD.ROM.access","Automated.catalogue.available","Name.of.Automated.Catalogue.System","Does.your.library.provide.wireless.Internet.connection","X..of.Main.Libraries","Main.Library..total.hours.open.per.week","X..of.Branches.open...12.hours.per.week","Branches.open...12.hours.per.week..total.hours.open.per.week","X..of.Branches.open..12.hours.per.week","Branches.open..12.hours.per.week..total.hours.open.per.week","X..of.Bookmobile.stops","Bookmobile.hours.per.week","X..of.Deposit.Stations","Deposit.Station.hours.per.week","X..of.Bookmobiles","Total.Annual.Direct.Circulation","X..of.programs.held.annually","Annual.program.attendance","X..of.items.borrowed","X..of.items.lent","X..of.requests.made.to.other.libraries","X..of.requests.received.from.other.libraries","Typical.Week..Direct.circulation","Typical.Week..Materials.use.in.library","Typical.Week....of.people.using.library.workstations","Typical.Week....of.times.electronic.databases.accessed","No.of.people.using.public.library.wireless.connection","Typical.Week....of.standard.reference.transactions","Typical.Week....of.electronic.reference.transactions","Typical.Week....of.library.visits.made.in.person","Typical.Week....of.electronic.library.visits"
"1",5,"Addington Highlands Twp",2003,57,"Addington Highlands Twp","Township of Addington Highlands","Box 72","K0H1P0","Flinton","3641 Flinton Rd. Flinton, Ontario","www.addingtonhighlandspubliclibrary.ca","Public or Union Library",2112,2462,0,0,"01/01/2003","12/31/2003","SOLS",572,34,"Surplus",11434,13978,0,14500,608,1247,0,0,41767,0,0,0,0,0,5397,0,13489,267,3482,872,0,541,9450,0,0,1764,35262,5658,51,0,0,200,0,0,0,0,0,0,0,0,0,0,0,14066,13,0,14066,13,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,3,14,5,12,3,3,0,2,"No","",0,1,7,0,0,1,7,0,0,0,0,0,5072,1,49,58,0,58,0,130,0,5,0,0,0,0,68,0
"2",3,"Adjala-TosorontioTwp",2003,70,"Adjala-TosorontioTwp","","7855 Sideroad 30, RR # 1","L9R1V1","Alliston","","www.townshipadjtos.on.ca","Contracting Municipality",9750,3889,0,0,"01/01/2003","12/31/2003","",0,0,"Nil",13821,20269,0,0,0,0,0,0,34090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34046,44,34090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2,"Admaston - Bromley Public Library",2003,69,"Admaston - Bromley Public Library","Township of Admaston/Bromley","P O Box 130","K0J1S0","Douglas","5346 Highway 60","http://www.admastonbromleylibrary.com","Public or Union Library",2793,1274,0,0,"01/01/2003","12/31/2003","SOLS",425,7285,"Surplus",5518,3500,659,5729,0,235,0,200,15841,0,0,0,10000,10000,2200,0,3787,820,2286,1463,0,4883,0,0,0,4029,19468,3000,50,0,0,150,0,0,0,0,0,5,0,0,5,0,0,5800,30,0,5880,30,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,2,8,2,2,4,4,0,3,"No","",0,1,10,0,0,0,0,0,0,0,0,0,13800,25,750,0,0,0,0,375,59,110,0,0,12,129,239,0
"4",32,"Ajax",2003,10,"Ajax","","55 Harwood Ave. South","L1S2H8","Ajax","","www.townofajax.com/library/index.html","Public or Union Library",66958,24845,0,0,"01/01/2003","12/31/2003","SOLS",47410,60546,"Surplus",154654,2114400,0,18314,3515,103396,0,5416,2399695,0,0,156013,0,156013,227681,12495,1777191,4796,258109,28279,0,0,0,0,0,71689,2380240,156013,2645,0,0,5981,0,0,4,0,0,42,0,0,42,0,0,133186,3209,3406,160847,3658,3578,108,0,0,129,0,0,196,2,4,4,0,0,0,0,0,0,0,0,0,0,0,35,3,2,0,8,0,0,0,0,0,0,0,54,720,0,0,53,33,17,4,"Yes","Dynix",0,1,62,2,86,0,0,0,0,0,0,0,603216,944,14163,549,586,717,3455,13218,2845,1615,0,0,1184,0,6656,0
"5",390,"Alderville FN",2003,61,"Alderville FN","","P.O. Box 46","K0K2X0","Roseneath","11696 Second Line Road, Alderville, Ontario","http://aldervillelearningcentre.com/index.php/library.html","First Nations Library",287,0,0,0,"04/01/2003","03/31/2004","SOLS",173,0,"Nil",1329,337,0,25871,3910,500,0,0,31947,4178,0,0,0,4178,1792,344,17275,1468,2670,970,300,2774,0,0,0,4354,31947,4178,274,0,0,304,0,0,0,0,0,15,0,0,16,0,0,3034,0,401,3184,0,436,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,1,20,3,4,3,3,3,3,"Yes","STACKS",0,1,20,0,0,0,0,0,0,0,0,0,4425,33,320,37,0,45,0,115,57,12,0,0,9,0,74,0
"6",4,"Alfred & Plantagenet Twp",2003,67,"Alfred & Plantagenet Twp","Township of Alfred & Plantagenet","C.P. 10","K0B1J0","Lefaivre","1963, rue de l'Hôtel de Ville, C.P. 10, Lefaivre ON","www.alfred-plantagenet.ca","Public or Union Library",8290,3514,0,0,"01/01/2003","12/31/2003","SOLS",2581,3619,"Surplus",15665,106814,0,15000,500,4187,0,0,142166,0,0,0,0,0,20702,0,57254,2920,20090,3429,0,0,15000,0,13810,4068,137273,0,28,169,1,263,545,1,0,0,0,0,0,0,0,0,0,4621,23581,3,6338,27292,3,0,0,0,0,0,0,6,47,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,16,6,58,11,25,23,23,20,23,"Yes","Mandarin",0,0,0,3,43,2,20,0,0,0,0,0,34484,9,346,239,0,0,0,757,297,88,5,0,30,10,346,39
"7",391,"Algonquins of Pikwakanagon FN",2003,69,"Algonquins of Pikwakanagon FN","","1657A Mishomis Inamo","K0J1X0","Golden Lake","","www.algonquinsof pikwakanagan.com/Education%20library%20 2004.htm","First Nations Library",409,0,0,0,"04/01/2003","03/31/2004","SOLS",370,0,"Nil",2388,3896,0,22000,0,0,0,0,28284,0,0,65000,0,65000,2479,0,20303,1241,26,878,0,0,0,0,0,57,24984,65000,19,0,0,90,0,0,0,0,0,0,0,0,0,0,0,2435,0,0,2731,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,7,7,0,7,"Yes","winnebego specturm",0,1,20,0,0,0,0,0,0,0,0,0,678,2,39,0,0,0,0,39,78,36,0,0,23,0,88,0
"8",487,"Alnwick/Haldimand Twp",2003,61,"Alnwick/Haldimand Twp","","2363 County Road 23","K0K2G0","Grafton","","www.alnwickhaldimand.ca","Public or Union Library",5392,2883,0,0,"01/01/2003","12/31/2003","SOLS",1329,-2651,"Deficit",16751,80719,0,9000,350,1538,0,0,108358,0,0,0,0,0,35166,0,44228,0,0,3934,1651,2996,0,0,0,18998,106973,1386,358,0,0,630,0,0,0,0,0,12,0,0,12,0,0,26321,0,0,27315,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,2,22,0,0,2,26,2,10,8,4,3,2,"Yes","Winnebago/Spectrum",0,0,0,1,12,2,20,0,0,0,0,0,30757,12,314,655,0,731,0,701,96,40,0,0,48,23,271,0
"9",12,"Amaranth Twp",2003,43,"Amaranth Twp","","R.R. #7","L9W2Z3","Orangeville","374028 6th Line Amaranth","www.amaranth-eastgary.ca","Contracting Municipality",3413,1279,0,0,"01/01/2003","12/31/2003","",0,0,"Nil",5167,77126,0,0,0,0,0,0,82293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82293,0,82293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",13,"Armstrong Twp",2003,90,"Armstrong Twp","","C.P. 39","P0J1E0","Earlton","35-10th Street","http://www.olsn.ca/armstrong","Public or Union Library",1345,525,330,139,"01/01/2003","12/31/2003","OLS-N",920,22587,"Surplus",2817,15933,861,13100,2775,2051,0,0,37537,0,0,0,0,0,5208,0,15477,225,2223,796,0,1532,0,0,0,0,25461,6087,26,77,0,188,351,0,0,0,0,0,0,0,0,0,0,852,784,0,5124,5354,0,0,0,0,0,0,0,20,28,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,18,0,0,0,0,1,15,0,0,8,8,2,8,"Yes","winnabego",0,1,29,0,0,0,0,0,0,0,0,0,66370,0,0,0,0,47,18,368,118,6,0,0,5,0,140,33
