Library Number,Library Full Name,Survey Year From,A1.3 Ontario Library Service (OLS) Region (English),A1.4 Type of Library Service (English),A1.5 Mailing Address,A1.9 Street Address,A1.10 City/Town,A1.11 Province,A1.12 Postal Code,A1.13 Web Site Address,A1.14 - No. of Active Library Cardholders,B1.1 - Net Balance brought forward from previous year,B2.1.1 - Public Library Operating Grant (PLOG),B2.1.2 - Pay Equity Grant,B2.1.3 - First Nation Salary Supplement Grant,B2.1.4 - Total Provincial Operating Funding,B2.2 - Local Operating Funding (e.g. Municipality or Band local operating funding),"B2.3 - Contract Revenue (funds from other municipalities, LSBs or First Nation Bands that contract for library services). Specify name of contracting organization and amount received from each. (Does not apply to contracting municipalities)",B2.4.1.01 - CSIF,B2.4.1.02 - Capacity building funding,B2.4.1.03 - Trillium Foundation funding,B2.4.1.04 - Provincial student employment funding,B2.4.1.05 - ServiceOntario,B2.4.1.06 - CAP support,B2.4.1.07 - CAP youth support,B2.4.1.08 - Young Canada Works,B2.4.1.99 - Other Project Grant,B2.4.1a - Total Project Grants,"B2.5 - Donations (monies donated by outside bodies, e.g. Friends groups, trust funds etc.)","B2.6 - Self Generated Revenue (e.g. fines, fees, sales/fundraising, room rentals, cafe revenue, etc.)",B2.7 - Debt Services and Reserve Fund Revenues,"B2.8 - Other (Specify any other source of funds not included above and indicate the amount received from each funding source listed, e.g. Connectivity)",B2.9 - Total Operating Revenues,B3.1 - Provincial,B3.2 - Federal,B3.3 - Local,B3.4 - Other (specify any other source of funds not included above and indicate the amount received from each funding source listed; report each funding source on a separate line),B3.5 - Total Capital Revenues,B4.01 - Materials,"B4.01.1 - General (Include all physical items that are not electronic, e.g. books, periodicals, etc.)","B4.01.2 - Electronic (e.g. electronic subscriptions and other databases, downloadable media, gaming  software, Playaway, DVDs, and e-resources)","B4.02 - Staffing (Total funds spent on all staff, including benefits.)","B4.03 - Staff Training (Total funds spent on staff training, including travel and accommodation)","B4.04 - Facilities/Utilities (Costs related to library facility operation, e.g. insurance, rent, lighting, maintenance, etc.)",B4.05.1 - Telephone and Fax,"B4.05.2 - Dedicated Internet Connectivity Costs (e.g. wireless, ISDN, dedicated lines.)","B4.06 - Computer Services (Total spent on computer equipment and related expenses, e.g. computer maintenance contracts, etc., new automated systems, etc.)",B4.07 - Debt Charges and Transfers to Reserve Funds,B4.08 - Funds returned to government sources,B4.09 - Contract payments made to library board for library services (Specify the library board(s) and amount given to each board; report each payment on a separate line),B4.10 - Other (specify all other expenditures not reported above and indicate the amount spent for each expenditure listed; report each item on a separate line),B5.0 - Total Operating Expenditures,"B6.0 - Total Capital Expenditures (funds expended on land, building construction/renovation or furniture)",C1.1.E - English Titles Held,C1.1.F - French Titles Held,C1.1.O - Other Titles Held,C1.1.T - Total Titles Held,C1.2.E - English Volumes Held,C1.2.F - French Volumes Held,C1.2.O - Other Volumes Held,C1.2.T - Total Volumes Held,C1.3.1.E - English No. of Databases,C1.3.1.F - French No. of Databases,C1.3.1.O - Other No. of Databases,C1.3.1.T - Total No. of Databases,C1.3.2.E - English No. of CD and DVD Titles,C1.3.2.F - French No. of CD and DVD Titles,C1.3.2.O - Other No. of CD and DVD Titles,C1.3.2.T - Total No. of CD and DVD Titles,C1.3.3.E - English No. of copies of CD and DVDs,C1.3.3.F - French No. of copies of CD and DVDs,C1.3.3.O - Other No. of copies of CD and DVDs,C1.3.3.T - Total No. of copies of CD and DVDs,C1.4.E - English Special Collections - original format,C1.4.F - French Special Collections - original format,C1.4.O - Other Special Collections - original format,C1.4.T - Total Special Collections - original format,C1.5.E - English Special Collections - digital format,C1.5.F - French Special Collections - digital format,C1.5.O - Other Special Collections - digital format,C1.5.T - Total Special Collections - digital format,C2.1.E - English Titles Held ,C2.1.F - French Titles Held ,C2.1.O - Other Titles Held ,C2.1.T - Total Titles Held ,C2.2.E - English Volumes Held,C2.2.F - French Volumes Held,C2.2.O - Other Volumes Held,C2.2.T - Total Volumes Held,C2.3.1.E - English No. of CD and DVD Titles,C2.3.1.F - French No. of CD and DVD Titles,C2.3.1.O - Other No. of CD and DVD Titles,C2.3.1.T - Total No. of CD and DVD Titles,C2.3.2.E - English No. of copies of CD and DVDs,C2.3.2.F - French No. of copies of CD and DVDs,C2.3.2.O - Other No. of copies of CD and DVDs,C2.3.2.T - Total No. of copies of CD and DVDs,"C2.3.3.E - English No. of Titles of E-resources, including E-books","C2.3.3.F - French No. of Titles of E-resources, including E-books","C2.3.3.O - Other No. of Titles of E-resources, including E-books","C2.3.3.T - Total No. of Titles of E-resources, including E-books","C2.3.4.E - English No. of Copies of E-resources, including E-books","C2.3.4.F - French No. of Copies of E-resources, including E-books","C2.3.4.O - Other No. of Copies of E-resources, including E-books","C2.3.4.T - Total No. of Copies of E-resources, including E-books",C2.4.E - English Special Collections - original format,C2.4.F - French Special Collections - original format,C2.4.O - Other Special Collections - original format,C2.4.T - Total Special Collections - original format,C2.5.E - English Special Collections - digital format,C2.5.F - French Special Collections - digital format,C2.5.O - Other Special Collections - digital format,C2.5.T - Total Special Collections - digital format,C3.1.E - English Titles Held ,C3.1.F - French Titles Held ,C3.1.O - Other Titles Held ,C3.1.T - Total Titles Held ,C3.2.1.E - English No. of Database Subscriptions,C3.2.1.F - French No. of Database Subscriptions,C3.2.1.O - Other No. of Database Subscriptions,C3.2.1.T - Total No. of Database Subscriptions,C3.2.2.E - English No. of CD and DVD Titles,C3.2.2.F - French No. of CD and DVD Titles,C3.2.2.O - Other No. of CD and DVD Titles,C3.2.2.T - Total No. of CD and DVD Titles,C3.2.3.E - English No. of copies of CD and DVDs,C3.2.3.F - French No. of copies of CD and DVDs,C3.2.3.O - Other No. of copies of CD and DVDs,C3.2.3.T - Total No. of copies of CD and DVDs,C3.2.4.E - English No. of individual electronic periodicals titles,C3.2.4.F - French No. of individual electronic periodicals titles,C3.2.4.O - Other No. of individual electronic periodicals titles,C3.2.4.T - Total No. of individual electronic periodicals titles,D1.0.H - How many hours per week in your library constitute a full time position (must be at least 32.5 hours)?,D1.1.1.C - Librarians,D1.1.2.C - Library Technicians,D1.1.3.C - EXCEL Graduates,D1.1.4.C - Other Staff,D1.1.5.C - Volunteers,D1.2.1.C - Librarians,D1.2.1.H - Librarians,D1.2.2.C - Library Technicians,D1.2.2.H - Library Technicians,D1.2.3.C - EXCEL Graduates,D1.2.3.H - EXCEL Graduates,D1.2.4.C - Other Staff,D1.2.4.H - Other Staff,D1.2.5.C - Volunteers,D1.2.5.H - Volunteers,E1.1 - Total No. of Public Access Workstations available in your library,E1.1.1 - Provide Internet access,E1.1.2 - Provide OPAC and/or ILS Access,E1.1.3 - Provide CD ROM access,"E1.1.4 - Total number of lending laptops, netbooks, and tablets (e.g. iPads)",E1.2 - E-readers,E2.1 - Does your library have an automated catalogue system?,E2.3 - Does your library provide wireless Internet connection?,E3.1.SPC - Main Library,E3.1.SPH - Main Library,E3.2.SPC - Branches open 12 hours per week or more,E3.2.SPH - Branches open 12 hours per week or more,E3.3.SPC - Branches open less than 12 hours per week,E3.3.SPH - Branches open less than 12 hours per week,E3.4.SPC - Bookmobile stop locations,E3.4.SPH - Bookmobile stop locations,E3.5.SPC - Deposit Stations and Kiosks (refer to criteria),E3.5.SPH - Deposit Stations and Kiosks (refer to criteria),E3.6.SPC - No. of Bookmobiles owned by your library board,F1.0 - Total Annual Circulation (Actual Annual Direct Circulation),F2.1.P - No. of programs held annually,F2.2.A - Annual program attendance,F2.301.Attendance - Early literacy and Early learning ,F2.301.Programs - Early literacy and Early learning ,F2.302.Attendance - Other Children's programming,F2.302.Programs - Other Children's programming,F2.303.Attendance - Summer Reading,F2.303.Programs - Summer Reading,F2.304.Attendance - Homework help ,F2.304.Programs - Homework help ,F2.305.Attendance - Class instruction at a library or school,F2.305.Programs - Class instruction at a library or school,F2.306.Attendance - Teen programming,F2.306.Programs - Teen programming,F2.307.Attendance - Newcomer focus,F2.307.Programs - Newcomer focus,"F2.308.Attendance - Careers, job help / skills ","F2.308.Programs - Careers, job help / skills ",F2.309.Attendance - Business Development,F2.309.Programs - Business Development,F2.310.Attendance - Community Development,F2.310.Programs - Community Development,"F2.311.Attendance - Technology, social media and computer literacy ","F2.311.Programs - Technology, social media and computer literacy ","F2.312.Attendance - Genealogy, local history, Doors Open","F2.312.Programs - Genealogy, local history, Doors Open",F2.313.Attendance - Adult learning (not covered elsewhere),F2.313.Programs - Adult learning (not covered elsewhere),F2.314.Attendance - Seniors programming,F2.314.Programs - Seniors programming,"F2.315.Attendance - Culture Days, poetry and story readings, art shows","F2.315.Programs - Culture Days, poetry and story readings, art shows",F2.316.Attendance - First Nations Public Library Week,F2.316.Programs - First Nations Public Library Week,F2.317.Attendance - First Nation Communities Reads,F2.317.Programs - First Nation Communities Reads,F2.318.Attendance - Ontario Public Library Week / Canadian Library Month,F2.318.Programs - Ontario Public Library Week / Canadian Library Month,F2.319.Attendance - Book Clubs,F2.319.Programs - Book Clubs,F3.1.1 - No. of requests made to other libraries,F3.1.2 - No. of items being borrowed,F3.2.1 - No. of requests received from other libraries,F3.2.2 - No. of items lent,"G1.1.1.W - All circulation except E-books, downloadable audio books, music and video","G1.1.2.W - All circulation for E-books, downloadable audio books, music and video ",G1.1.3.W - Total circulation of all library materials,G1.2.1.W - Total In Library Materials Use,G1.3.1.W - No. of people using library workstations,G1.3.2.W - No. of times electronic databases are accessed by library users,G1.3.3.W - No. of people using public library wireless connection,G1.4.1.W - No. of standard reference transactions,G1.4.2.W - No. of electronic reference transactions,G1.4.3.W - No. of Reader's Advisory transactions,"G1.4.4.W - No. of Information Communication Technology, software and social media support requests","G1.4.5.W - Average staff time in minutes per Information Communication  Technology, software and social media support request:","G1.4.6.W - Number of times accessible material, equipment or devices are requested",G1.5.1.W - No. of visits to the library made in person,G1.5.2.W - No. of electronic visits to the library website,H1.1.1.01 - Books,H1.1.1.02 - E-books,H1.1.1.03 - Databases and Other Downloadable Services,H1.1.1.04 - Computer software,H1.1.1.05 - Connectivity,H1.1.1.06 - Integrated Library systems,H1.1.1.07 - Corporate Discount Programs,H1.1.1.08 - Municipal and Local government,H1.1.1.92 - Other Types of Consortia,H1.2.1.F - No,H1.2.1.T - Yes,"H1.2.2 - If Yes, provide number of Friends or Foundations organizations your public library works with  ",H1.3.1.F - No,H1.3.1.T - Yes,H1.3.2.11 - Blogs,H1.3.2.12 - Twitter,H1.3.2.13 - Facebook,H1.3.2.14 - Google+,H1.3.2.15 - RSS feeds,H1.3.2.16 - Flickr,H1.3.2.17 - YouTube,H1.3.2.18 - LinkedIn,H1.3.2.90 - Other Social Media,H1.4.1.F - No,H1.4.1.T - Yes,"H1.4.2 - If Yes, how many?  ",H1.4.3.21 - Community museums,H1.4.3.22 - Art galleries,H1.4.3.23 - Municipal cultural planning partnerships,H1.4.3.24 - Archives,H1.4.3.25 - Heritage Organizations,H1.4.3.93 - Other Cultural Partners,H1.5.1.F - No,H1.5.1.T - Yes,"H1.5.2 - If Yes, how many?",H1.5.3.40 - Early Childhood Organizations,"H1.5.3.41 - School boards, including local schools and local education authorities",H1.5.3.42 - Community Colleges,H1.5.3.43 - Universities,H1.5.3.44 - Distance Education,H1.5.3.94 - Other Education Sector Partners,H1.7.1.F - No,H1.7.1.T - Yes,H1.7.2.31 - ServiceOntario,H1.7.2.32 - HRSDC,H1.7.2.33 - CAP,H1.7.2.34 - Municipal services (e.g. licences),H1.7.2.35 - Health,H1.7.2.91 - Other government Service Partnerships,H1.8.1.F - No,H1.8.1.T - Yes,H1.8.2.PC - Please outline your projects in the field below. Provide year the project is planned for.,H1.9.1.F - No,H1.9.1.T - Yes,H1.9.2.51 - Chamber of Commerce,H1.9.2.52 - Business Improvement Area (BIA),H1.9.2.95 - Other Business and Economic Sector Partnerships,P1.1 - Resident Population Served,P1.2 - Contracting Population Served,P2.1 - Contracting Households Served,P2.2 - Resident Households Served
L0005,Addington Highlands Twp,2012,Southern Ontario Library Service,Public or Union Library,Box 72 ,3641 Flinton Rd. ,Flinton,Ontario,K0H1P0,www.addingtonhighlandspubliclibrary.ca,778,"90,155","11,434",,,"11,434","54,060",,,,,,,"7,223",,,,"7,223",110,"1,238",,"2,358","76,423",,,,,,"9,843","8,996",847,"46,923",953,"5,161","1,655","2,355","3,799",,,,"5,550","76,239","80,808",33,0,0,33,90,0,0,90,8,4,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,063",30,0,"9,093","9,566",30,0,"9,596","1,303",4,1,"1,308","1,353",4,1,"1,358","51,620",49,95,"51,764","67,628",49,95,"67,772",0,0,0,0,0,0,0,0,15,0,0,15,12,1,0,13,0,0,0,0,0,0,0,0,"45,148",75,0,"45,223",35,,,,,,,,,,2,17,3,30,10,15,12,12,12,12,3,2,1,1,1,15,1,16,,,,,,,,"10,675",41,385,35,2,159,20,191,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,249,,,160,19,179,15,25,10,14,,,,,,1,108,83,,1,,,,,,,,0,,,,1,,,1,,,,,,,0,,,,,,,,,0,,,,,,,,,,1,1,,1,,,1,0,,,0,,,,,"1,945",0,0,"2,705"
L0003,Adjala-TosorontioTwp,2012,Southern Ontario Library Service,Contracting Municipality,7855 Sideroad 30 R.R. #1 ,,Alliston,Ontario,L9R1V1,www.townshipadjtos.on.ca,0,0,"13,821",,,"13,821","23,999",,,,,,,,,,,,,,,,"37,820",,,,,,,,,,,,,,,,,"37,820",,"37,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,603",0,0,"3,913"
L0002,Admaston/Bromley Twp,2012,Southern Ontario Library Service,Public or Union Library,Hwy 60 P O Box 130 ,5366 Highway 60 ,Douglas,Ontario,K0J1S0,http://www.admastonbromleylibrary.com,486,"6,470","5,518",,,"5,518","10,750",652,,,,,,"3,558",,,,"3,558",,"2,334",,636,"23,448",,,,,,"5,110","2,935","2,175","7,440",145,"3,120","1,263",534,714,,,,"1,611","19,937",,25,2,0,27,82,2,0,84,8,4,2,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"9,066",60,0,"9,126","9,080",0,0,"9,080",460,0,0,460,460,0,0,460,"2,637",49,95,"2,781","2,901",49,95,"3,045",0,0,0,0,0,0,0,0,50,0,0,50,12,1,0,13,,,,,,,,,"45,148",75,0,"45,223",35,,,,,,,,1,12,,,1,2,1,2,6,6,6,6,1,3,1,1,1,12,,,,,,,,,,"6,870",13,240,56,5,100,4,,,,,,,21,2,,,,,,,,,,,,,,,,,18,1,,,,,45,1,,,24,24,,,159,,159,45,6,4,4,2,1,7,1,5,,200,69,,,,,,,1,,,0,,,,1,,,1,,,,,,,,1,6,1,,,,,3,,1,1,,1,,,,,0,,,,,,,,0,,,0,,,,,"2,640",0,0,"1,336"
L0032,Ajax,2012,Southern Ontario Library Service,Public or Union Library,55 Harwood Avenue South ,55 Harwood Avenue South ,Ajax,Ontario,L1S2H8,ajaxlibrary.ca,"31,612","206,401","83,286","71,368",0,"154,654","3,696,100",,,,,,,"4,112","10,634","5,514","5,621","25,881","77,110","116,538",,"88,002","4,158,285",,,,,,"428,405","391,465","36,940","2,971,306","26,866","287,966","3,073",,,,,,"239,839","3,957,455","24,429",714,0,0,714,"1,898",0,0,"1,898",10,6,3,19,,,,,,,,,,,,,,,,,"94,113","6,755","2,725","103,593","135,544","7,189","2,805","145,538","12,831",492,"1,730","15,053","17,300",580,"1,819","19,699","248,394",49,95,"248,538","37,819",49,95,"37,963",,,,,,,,,217,0,3,220,15,1,0,16,,,,,,,,,"46,981",102,0,"47,083",35,4,6,,11,,,,8,128,,,41,542,,,53,38,15,,,,1,1,1,62,2,84,,,,,,,,"835,848","1,265","27,908","9,759",505,"3,644",67,"3,561",95,611,20,"1,960",65,841,40,"1,684",174,42,9,24,1,,,760,159,182,4,143,4,"2,052",55,"2,368",51,,,,,,,261,25,"1,059","1,127","2,440","16,068","15,391",682,"16,073","1,908","1,786","1,842","2,157",657,18,90,328,8,1,"8,126","8,608",,1,,,,,,,,,1,1,,1,,1,1,,,1,1,,,,1,13,,1,1,,,11,,1,3,,1,,,,2,,1,,,1,1,,2,,1,"244,000",,1,,,1,"117,120",0,0,"36,065"
L0390,Alderville FN,2012,Southern Ontario Library Service,First Nations Library,P.O. Box 46 ,11696 Second Line Road ,Alderville,Ontario,K0K2X0,http://aldervillelearningcentre.com/index.php/library.html,139,0,"1,329",,"13,000","14,329","3,787",,,,,,,,,,,,0,170,0,"2,746","21,032",0,0,0,,0,333,333,0,"16,878",684,67,0,"2,746",0,0,0,,324,"21,032",0,232,0,0,232,276,0,0,276,8,4,2,14,10,0,0,10,10,0,0,10,,,,,,,,,"6,103",0,100,"6,203","6,165",0,100,"6,265",55,0,5,60,55,0,7,62,"8,035",49,95,"8,179","8,035",49,95,"8,179",,,,,,,,,11,0,0,11,12,1,0,13,,,,,,,,,"45,148",75,0,"45,223",35,,,,,,,,,,,,1,20,2,15,5,4,,5,,,1,1,1,35,,,,,,,,,,"1,213",46,312,240,40,,,72,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,2,45,6,6,,,3,2,2,,,,34,,,1,,1,,,,,,0,,,,1,,,1,,,,,,,0,,,,,,,,,,1,2,1,,,,,1,0,,,,,,,,0,,,0,,,,,306,0,0,0
L0004,Alfred & Plantagenet Twp,2012,Southern Ontario Library Service,Public or Union Library,C.P. 10 ,1963 rue de l'H¿tel de Ville C.P. 10 ,Lefaivre,Ontario,K0B1J0,www.alfred-plantagenet.ca,"1,043","27,446","13,936","1,729",,"15,665","276,510",,,,,672,,,,,"19,800","20,472",,"3,960",,"12,858","329,465",,,,"12,770","12,770","45,602","45,602",,"182,067","1,487","91,308","5,091",,"6,241","17,906",,,"11,747","361,449",,76,292,0,368,80,520,0,600,40,4,2,46,,,,,,,,,,,,,,,,,"8,676","25,710",0,"34,386","10,496","38,679",0,"49,175","1,297",686,0,"1,983","1,843",869,0,"2,712","32,484",632,95,"33,211","37,982",632,95,"38,709",,,,,,,,,12,1,0,13,12,1,0,13,,,,,,,,,"45,148",75,0,"45,223",35,,1,,,,,,,,1,27,6,76.5,2,2,25,25,24,24,,,1,1,,,5,76,,,,,,,,"44,873",86,"1,008",,,955,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,6,337,307,307,,880,34,914,183,71,,11,39,,,,,,452,35,,1,,,,,,,,0,,,0,,,,,,,,,,,,1,1,1,,,,,,,1,2,,1,,,1,,,1,,,,1,,,,1,"980,000",0,,,,,"7,981",0,0,"4,111"
L0391,Algonquins of Pikwakanagan FN,2012,Southern Ontario Library Service,First Nations Library,1657 A Mishomis Inamo ,1657 A Mishomis Inamo ,Golden Lake,Ontario,K0J1X0,http://algonquinsofpikwakanagan.com/library.php,85,0,"2,388",0,"13,000","15,388","3,205",,,636,,,,297,,,,933,0,0,0,"2,746","22,272",0,,,,0,467,467,,"15,869","1,572",105,989,"2,746",444,,,,80,"22,272",,12,0,0,12,212,0,0,212,8,4,2,14,36,0,0,36,36,0,0,36,0,0,0,0,0,0,0,0,"5,376",0,0,"5,376","5,376",0,0,"5,376",115,0,0,115,115,0,0,115,"2,505",49,95,"2,649","2,505",49,95,"2,649",0,0,0,0,0,0,0,0,12,0,0,12,12,1,0,13,0,0,0,0,0,0,0,0,"45,148",75,0,"45,223",35,,,,,,,,,,,,1,20,,,6,6,,6,,,1,1,1,20,,,,,,,,,,"1,600",23,320,,,90,18,,,,,,,,,,,,,,,,,,,,,,,,,68,2,12,2,150,1,,,,,,,,,32,,32,45,14,,,3,,5,,,,26,,,1,,,,,,,,0,,,0,,,,,,,,,,,0,,,,,,,,,,1,1,,1,,,,,,1,,,,,,1,0,,,0,,,,,458,0,0,0
L0487,Alnwick/Haldimand Twp,2012,Southern Ontario Library Service,Public or Union Library,2363 County Road 23 ,,Grafton,Ontario,K0K2G0,www.alnwickhaldimand.ca,"1,098",0,"13,478","3,273",0,"16,751","145,921",,,,,200,,,,,"2,078","2,278","9,135","1,124",,"3,939","179,148",0,0,0,,0,"30,297","28,727","1,570","116,857",589,"6,223","3,117",879,440,"8,896",0,,"11,850","179,148",,167,0,0,167,309,0,0,309,8,4,2,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"26,051",0,0,"26,051","31,260",0,0,"31,260",950,0,0,950,950,0,0,950,"37,343",49,95,"37,487","42,841",49,95,"42,985",0,0,0,0,0,0,0,0,25,0,0,25,12,1,0,13,0,0,0,0,0,0,0,0,"45,148",75,0,"45,223",32.5,,,,,,,,,,,,7,83,,,13,13,3,10,4,3,1,1,,,3,43,,,,,,,,"29,558",27,435,,,81,6,354,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897,838,"1,478",537,566,11,577,411,75,,56,73,,84,16,11,23,294,,1,1,,1,,,,1,2,,1,1,,1,,,1,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,0,,,,,"6,617",0,0,"3,052"
L0012,Amaranth Twp,2012,Southern Ontario Library Service,Contracting Municipality,374028 6th Line ,374028 6th Line ,Amaranth,Ontario,L9W0M6,www.amaranth-eastgary.ca,0,0,"5,105",,,"5,105","91,362",,,,,,,,,,,,0,,,,"96,467",,,,,,,,,,,,,,,,0,"88,347","8,120","96,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,546",0,0,"1,374"
L0345,Archipelago Twp,2012,Ontario Library Service - North,Contracting Municipality,9 James Street ,,Parry Sound,Ontario,P2A1T4,www.thearchipelago.on.ca,0,0,"15,072",,,"15,072",0,,,,,,,,,,,,,,,,"15,072",,,,,,,,,,,,,,,,0,"15,072",,"15,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548,0,0,"3,191"
