Library Number,Library Full Name,Survey Year From,A1.3 Ontario Library Service (OLS) Region (English),A1.4 Type of Library Service (English),A1.5 Mailing Address,A1.9 Street Address,A1.10 City/Town,A1.11 Province,A1.12 Postal Code,A1.13 Web Site Address,A1.14 - No. of Active Library Cardholders,B1.1 - Net Balance brought forward from previous year,B2.1.1 - Public Library Operating Grant (PLOG),B2.1.2 - Pay Equity Grant,B2.1.3 - First Nation Salary Supplement Grant,B2.1.4 - Total Provincial Operating Funding,B2.2 - Local Operating Funding (e.g. Municipality or Band local operating funding),"B2.3 - Contract Revenue (funds from other municipalities, LSBs or First Nation Bands that contract for library services). Specify name of contracting organization and amount received from each. (Does not apply to contracting municipalities)",B2.4.1.01 - CSIF,B2.4.1.02 - Capacity building funding,B2.4.1.03 - Trillium Foundation funding,B2.4.1.04 - Provincial student employment funding,B2.4.1.05 - ServiceOntario,B2.4.1.07 - CAP youth support,B2.4.1.08 - Young Canada Works,B2.4.1.99 - Other Project Grant,B2.4.1a - Total Project Grants,"B2.5 - Donations (monies donated by outside bodies, e.g. Friends groups, trust funds etc.)","B2.6 - Self Generated Revenue (e.g. fines, fees, sales/fundraising, room rentals, cafe revenue, etc.)",B2.7 - Debt Services and Reserve Fund Revenues,"B2.8 - Other (Specify any other source of funds not included above and indicate the amount received from each funding source listed, e.g. Connectivity)",B2.9 - Total Operating Revenues,B3.1 - Provincial,B3.2 - Federal,B3.3 - Local,B3.4 - Other (specify any other source of funds not included above and indicate the amount received from each funding source listed; report each funding source on a separate line),B3.5 - Total Capital Revenues,B4.01 - Materials,"B4.01.1 - General (Include all physical items that are not electronic, e.g. books, periodicals, etc.)","B4.01.2 - Electronic (e.g. electronic subscriptions and other databases, downloadable media, gaming  software, Playaway, DVDs, and e-resources)","B4.02 - Staffing (Total funds spent on all staff, including benefits.)","B4.03 - Staff Training (Total funds spent on staff training, including travel and accommodation)","B4.04 - Facilities/Utilities (Costs related to library facility operation, e.g. insurance, rent, lighting, maintenance, etc.)",B4.05.1 - Telephone and Fax,"B4.05.2 - Dedicated Internet Connectivity Costs (e.g. wireless, ISDN, dedicated lines.)","B4.06 - Computer Services (Total spent on computer equipment and related expenses, e.g. computer maintenance contracts, etc., new automated systems, etc.)",B4.07 - Debt Charges and Transfers to Reserve Funds,B4.08 - Funds returned to government sources,B4.09 - Contract payments made to library board for library services (Specify the library board(s) and amount given to each board; report each payment on a separate line),B4.10 - Other (specify all other expenditures not reported above and indicate the amount spent for each expenditure listed; report each item on a separate line),B5.0 - Total Operating Expenditures,"B6.0 - Total Capital Expenditures (funds expended on land, building construction/renovation or furniture)",C1.1.E - English Titles Held,C1.1.F - French Titles Held,C1.1.O - Other Titles Held,C1.1.T - Total Titles Held,C1.2.E - English Volumes Held,C1.2.F - French Volumes Held,C1.2.O - Other Volumes Held,C1.2.T - Total Volumes Held,C1.3.1.E - English No. of Databases,C1.3.1.F - French No. of Databases,C1.3.1.O - Other No. of Databases,C1.3.1.T - Total No. of Databases,C1.3.2.E - English No. of CD and DVD Titles,C1.3.2.F - French No. of CD and DVD Titles,C1.3.2.O - Other No. of CD and DVD Titles,C1.3.2.T - Total No. of CD and DVD Titles,C1.3.3.E - English No. of copies of CD and DVDs,C1.3.3.F - French No. of copies of CD and DVDs,C1.3.3.O - Other No. of copies of CD and DVDs,C1.3.3.T - Total No. of copies of CD and DVDs,C1.4.E - English Special Collections - original format,C1.4.F - French Special Collections - original format,C1.4.O - Other Special Collections - original format,C1.4.T - Total Special Collections - original format,C1.5.E - English Special Collections - digital format,C1.5.F - French Special Collections - digital format,C1.5.O - Other Special Collections - digital format,C1.5.T - Total Special Collections - digital format,C2.1.E - English Titles Held ,C2.1.F - French Titles Held ,C2.1.O - Other Titles Held ,C2.1.T - Total Titles Held ,C2.2.E - English Volumes Held,C2.2.F - French Volumes Held,C2.2.O - Other Volumes Held,C2.2.T - Total Volumes Held,C2.3.1.E - English No. of CD and DVD Titles,C2.3.1.F - French No. of CD and DVD Titles,C2.3.1.O - Other No. of CD and DVD Titles,C2.3.1.T - Total No. of CD and DVD Titles,C2.3.2.E - English No. of copies of CD and DVDs,C2.3.2.F - French No. of copies of CD and DVDs,C2.3.2.O - Other No. of copies of CD and DVDs,C2.3.2.T - Total No. of copies of CD and DVDs,"C2.3.3.E - English No. of Titles of E-resources, including E-books","C2.3.3.F - French No. of Titles of E-resources, including E-books","C2.3.3.O - Other No. of Titles of E-resources, including E-books","C2.3.3.T - Total No. of Titles of E-resources, including E-books","C2.3.4.E - English No. of Copies of E-resources, including E-books","C2.3.4.F - French No. of Copies of E-resources, including E-books","C2.3.4.O - Other No. of Copies of E-resources, including E-books","C2.3.4.T - Total No. of Copies of E-resources, including E-books",C2.4.E - English Special Collections - original format,C2.4.F - French Special Collections - original format,C2.4.O - Other Special Collections - original format,C2.4.T - Total Special Collections - original format,C2.5.E - English Special Collections - digital format,C2.5.F - French Special Collections - digital format,C2.5.O - Other Special Collections - digital format,C2.5.T - Total Special Collections - digital format,C3.1.E - English Titles Held ,C3.1.F - French Titles Held ,C3.1.O - Other Titles Held ,C3.1.T - Total Titles Held ,C3.2.1.E - English No. of Database Subscriptions,C3.2.1.F - French No. of Database Subscriptions,C3.2.1.O - Other No. of Database Subscriptions,C3.2.1.T - Total No. of Database Subscriptions,C3.2.2.E - English No. of CD and DVD Titles,C3.2.2.F - French No. of CD and DVD Titles,C3.2.2.O - Other No. of CD and DVD Titles,C3.2.2.T - Total No. of CD and DVD Titles,C3.2.3.E - English No. of copies of CD and DVDs,C3.2.3.F - French No. of copies of CD and DVDs,C3.2.3.O - Other No. of copies of CD and DVDs,C3.2.3.T - Total No. of copies of CD and DVDs,C3.2.4.E - English No. of individual electronic periodicals titles,C3.2.4.F - French No. of individual electronic periodicals titles,C3.2.4.O - Other No. of individual electronic periodicals titles,C3.2.4.T - Total No. of individual electronic periodicals titles,D1.0.H - How many hours per week in your library constitute a full time position (must be at least 32.5 hours)?,D1.1.1.C - Librarians,D1.1.2.C - Library Technicians,D1.1.3.1.C - Other Professional Staff,D1.1.3.C - EXCEL Graduates,D1.1.4.C - Other Staff,D1.1.5.C - Volunteers,D1.2.1.C - Librarians,D1.2.1.H - Librarians,D1.2.2.C - Library Technicians,D1.2.2.H - Library Technicians,D1.2.3.1.C - Other Professional Staff,D1.2.3.1.H - Other Professional Staff,D1.2.3.C - EXCEL Graduates,D1.2.3.H - EXCEL Graduates,D1.2.4.C - Other Staff,D1.2.4.H - Other Staff,D1.2.5.C - Volunteers,D1.2.5.H - Volunteers,E1.1 - Total No. of Public Access Workstations available in your library,E1.1.1 - Provide Internet access,E1.1.2 - Provide OPAC and/or ILS Access,"E1.1.4 - Total number of lending laptops, netbooks, and tablets (e.g. iPads)",E1.2 - E-readers,E2.1 - Does your library have an automated catalogue system?,E2.3 - Does your library provide wireless Internet connection?,E3.1.SPC - Main Library,E3.1.SPH - Main Library,E3.2.SPC - Branches open 12 hours per week or more,E3.2.SPH - Branches open 12 hours per week or more,E3.3.SPC - Branches open less than 12 hours per week,E3.3.SPH - Branches open less than 12 hours per week,E3.4.SPC - Bookmobile stop locations,E3.4.SPH - Bookmobile stop locations,E3.5.SPC - Deposit Stations and Kiosks (refer to criteria),E3.5.SPH - Deposit Stations and Kiosks (refer to criteria),E3.6.SPC - No. of Bookmobiles owned by your library board,F1.0 - Total Annual Circulation (Actual Annual Direct Circulation),F2.1.P - No. of programs held annually,F2.2.A - Annual program attendance,F2.301.Attendance - Early literacy and Early learning ,F2.301.Programs - Early literacy and Early learning ,F2.302.Attendance - Other Children's programming,F2.302.Programs - Other Children's programming,F2.303.Attendance - Summer Reading,F2.303.Programs - Summer Reading,F2.304.Attendance - Homework help ,F2.304.Programs - Homework help ,F2.305.Attendance - Class instruction at a library or school,F2.305.Programs - Class instruction at a library or school,F2.306.Attendance - Teen programming,F2.306.Programs - Teen programming,F2.307.Attendance - Newcomer focus,F2.307.Programs - Newcomer focus,"F2.308.Attendance - Careers, job help / skills ","F2.308.Programs - Careers, job help / skills ",F2.309.Attendance - Business Development,F2.309.Programs - Business Development,F2.310.Attendance - Community Development,F2.310.Programs - Community Development,"F2.311.Attendance - Technology, social media and computer literacy ","F2.311.Programs - Technology, social media and computer literacy ","F2.312.Attendance - Genealogy, local history, Doors Open","F2.312.Programs - Genealogy, local history, Doors Open",F2.313.Attendance - Adult learning (not covered elsewhere),F2.313.Programs - Adult learning (not covered elsewhere),F2.314.Attendance - Seniors programming,F2.314.Programs - Seniors programming,"F2.315.Attendance - Culture Days, poetry and story readings, art shows","F2.315.Programs - Culture Days, poetry and story readings, art shows",F2.316.Attendance - First Nations Public Library Week,F2.316.Programs - First Nations Public Library Week,F2.317.Attendance - First Nation Communities Reads,F2.317.Programs - First Nation Communities Reads,F2.318.Attendance - Ontario Public Library Week / Canadian Library Month,F2.318.Programs - Ontario Public Library Week / Canadian Library Month,F2.319.Attendance - Book Clubs,F2.319.Programs - Book Clubs,F3.1.1 - No. of requests made to other libraries,F3.1.2 - No. of items being borrowed,F3.2.1 - No. of requests received from other libraries,F3.2.2 - No. of items lent,"G1.1.1.W - All circulation except E-books, downloadable audio books, music and video","G1.1.2.W - All circulation for E-books, downloadable audio books, music and video ",G1.1.3.W - Total circulation of all library materials,G1.2.1.W - Total In Library Materials Use,G1.3.1.W - No. of people using library workstations,G1.3.2.W - No. of times electronic databases are accessed by library users,G1.3.3.W - No. of people using public library wireless connection,G1.4.1.W - No. of standard reference transactions,G1.4.2.W - No. of electronic reference transactions,G1.4.3.W - No. of Reader's Advisory transactions,"G1.4.4.W - No. of Information Communication Technology, software and social media support requests","G1.4.5.W - Average staff time in minutes per Information Communication  Technology, software and social media support request:","G1.4.6.W - Number of times accessible material, equipment or devices are requested",G1.5.1.W - No. of visits to the library made in person,G1.5.2.W - No. of electronic visits to the library website,G1.5.3.W - No. of Social Media visits,H1.1.1.01 - Books,H1.1.1.02 - E-books,H1.1.1.03 - Databases and Other Downloadable Services,H1.1.1.04 - Computer software,H1.1.1.05 - Connectivity,H1.1.1.06 - Integrated Library systems,H1.1.1.07 - Corporate Discount Programs,H1.1.1.08 - Municipal and Local government,H1.1.1.92 - Other Types of Consortia,H1.2.1.F - No,H1.2.1.T - Yes,"H1.2.2 - If Yes, provide number of Friends or Foundations organizations your public library works with  ",H1.3.1.F - No,H1.3.1.T - Yes,H1.3.2.11 - Blogs,H1.3.2.12 - Twitter,H1.3.2.13 - Facebook,H1.3.2.14 - Google+,H1.3.2.15 - RSS feeds,H1.3.2.16 - Flickr,H1.3.2.17 - YouTube,H1.3.2.18 - LinkedIn,H1.3.2.90 - Other Social Media,H1.4.1.F - No,H1.4.1.T - Yes,"H1.4.2 - If Yes, how many?  ",H1.4.3.21 - Community museums,H1.4.3.22 - Art galleries,H1.4.3.23 - Municipal cultural planning partnerships,H1.4.3.24 - Archives,H1.4.3.25 - Heritage Organizations,H1.4.3.26 - Ethno-cultural and Newcomer Service Organizations,H1.4.3.93 - Other Cultural Partners,H1.5.1.F - No,H1.5.1.T - Yes,"H1.5.2 - If Yes, how many?",H1.5.3.40 - Early Childhood Organizations,"H1.5.3.41 - School boards, including local schools and local education authorities",H1.5.3.42 - Community Colleges,H1.5.3.43 - Universities,H1.5.3.44 - Distance Education,H1.5.3.94 - Other Education Sector Partners,H1.7.1.F - No,H1.7.1.T - Yes,H1.7.2.31 - ServiceOntario,H1.7.2.32 - HRSDC,H1.7.2.34 - Municipal services (e.g. licences),H1.7.2.35 - Health,H1.7.2.36 - CAP Youth,H1.7.2.91 - Other government Service Partnerships,H1.8.1.F - No,H1.8.1.T - Yes,H1.8.2.PC - Please outline your projects in the field below. Provide year the project is planned for.,H1.9.1.F - No,H1.9.1.T - Yes,H1.9.2.51 - Chamber of Commerce,H1.9.2.52 - Business Improvement Area (BIA),H1.9.2.95 - Other Business and Economic Sector Partnerships,P1.1 - Resident Population Served,P1.2 - Contracting Population Served,P2.1 - Contracting Households Served,P2.2 - Resident Households Served
L0005,Addington Highlands Twp,2013,Southern Ontario Library Service,Public or Union Library,Box 72 ,3641 Flinton Rd. ,Flinton,Ontario,K0H1P0,www.addingtonhighlandspubliclibrary.ca,917,"17,488","11,434",,,"11,434","54,254",,,"1,348",,,"1,700",,,,"3,048",30,"1,059",,"4,118","73,943",,,,"13,600","13,600","11,743","11,743",,"44,921",100,"3,658","1,377","2,338","5,516",,,,"2,741","72,394","1,060",33,0,0,33,90,0,0,90,8,4,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,418",30,0,"11,448","12,010",30,0,"12,040","1,390",4,1,"1,395","1,420",4,1,"1,425","3,113",203,331,"3,647","3,113",203,331,"3,647",0,0,0,0,0,0,0,0,18,0,0,18,9,5,4,18,0,0,0,0,0,0,0,0,"45,029",179,82,"45,290",35,,,,,,,,,,,,,2,17,3,30,10,12,12,12,12,3,2,1,1,1,15,1,16,,,,,,,,"9,395",42,276,23,2,153,24,100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,141,,,122,50,172,16,30,,51,,,,,,,118,90,54,,,,,,,,,,0,,,,1,,,1,,,,,,,0,,,,,,,,,,,1,1,1,,,,,,,1,1,,,,,1,,1,"13,600",0,,,,,"1,945",0,0,"2,726"
L0003,Adjala-TosorontioTwp,2013,Southern Ontario Library Service,Contracting Municipality,7855 Sideroad 30 R.R. #1 ,,Alliston,Ontario,L9R1V1,www.townshipadjtos.on.ca,0,0,"13,821",,,"13,821","23,294",,,,,,,,,,,,,,,"37,115",,,,,,,,,,,,,,,,,"37,115",,"37,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,603",0,0,"3,913"
L0002,Admaston/Bromley Twp,2013,Southern Ontario Library Service,Public or Union Library,Hwy 60 P O Box 130 ,5366 Highway 60 ,Douglas,Ontario,K0J1S0,http://www.admastonbromleylibrary.com,510,"1,065","5,518",0,0,"5,518","10,750",652,,,"2,959",,,,,"1,668","4,627","2,000","1,014",,987,"25,548",,,,,,"6,262","4,075","2,187","13,785",129,"3,175","1,120",900,"2,927",,,"1,236",,"29,534",,24,2,0,26,81,2,0,83,8,4,2,14,,,,,,,,,,,,,,,,,"8,617",60,0,"8,677","8,625",60,0,"8,685",554,0,0,554,556,0,0,556,"3,247",203,331,"3,781","3,381",203,331,"3,915",,,,,,,,,25,0,0,25,9,5,4,18,,,,,,,,,"45,829",179,82,"46,090",35,,,,,,,,,,,,,,,1,12,1,2,5,5,5,1,3,1,1,1,12,,,,,,,,,,"9,542",15,322,110,7,,,100,4,,,,,14,2,,,,,,,,,,,,,18,1,,,,,,,,,80,1,,,82,80,,,"9,540",2,"9,542",78,15,5,6,2,2,8,2,15,2,211,118,24,,,,,,1,1,,,0,,,,1,,,1,,,,,,,,1,10,1,1,,,,,2,,1,1,,1,,,,,0,,,,,,,,0,,,0,,,,,"2,640",0,0,"1,326"
L0032,Ajax,2013,Southern Ontario Library Service,Public or Union Library,55 Harwood Avenue South ,55 Harwood Avenue South ,Ajax,Ontario,L1S2H8,ajaxlibrary.ca,"33,298","206,401","83,286","71,368",,"154,654","3,772,450",,,,,,,,"2,923","13,305","16,228","8,019","113,782",,"127,172","4,192,305",,,,,,"470,799","358,333","112,466","3,126,404","25,081","356,234","3,192",,"77,580","2,235",,,"53,061","4,114,586",,419,0,0,419,"1,231",0,0,"1,231",17,7,4,28,,,,,,,,,,,,,,,,,"106,017","7,761","4,633","118,411","151,203","8,368","4,819","164,390","13,389",711,"1,524","15,624","18,549",865,"1,627","21,041","219,189",169,116,"219,474","219,807",169,116,"220,092",,,,,,,,,193,6,9,208,26,1,0,27,,,,,,,,,"42,197","4,308",48,"46,553",35,4,1,2,,15,,,,,,1,20,,,40,558.75,,,45,34,11,,,1,1,1,62,2,84,,,,,,,,"858,276","1,320","28,754","10,071",513,"2,544",38,"4,448",113,"1,300",42,"1,560",49,927,80,640,68,58,14,56,4,"1,410",14,"1,079",164,39,4,"1,103",73,"2,504",103,563,16,,,,,174,4,278,21,"1,532","1,061","1,757",741,"14,667","1,077","15,744","1,973","1,217",847,"3,166",836,42,74,383,5,2,"8,663","4,386",,,,,,,,,,,,1,1,,1,,1,1,,,1,1,,,,1,14,,1,1,,,,14,,1,4,,1,,,,2,,1,,,,1,1,7,0,,,,1,,,3,"119,800",0,0,"36,960"
L0390,Alderville FN,2013,Southern Ontario Library Service,First Nations Library,P.O. Box 46 ,11696 Second Line Road ,Alderville,Ontario,K0K2X0,http://aldervillelearningcentre.com/index.php/library.html,161,0,"1,329",,"13,000","14,329",,,,919,,,,,,"1,636","2,555",0,119,,"3,036","20,039",,,,,,"1,323","1,291",32,"10,209","1,054",,,"2,746",,,,,"3,527","18,859",,145,0,0,145,175,0,0,175,8,4,2,14,,,,,4,0,0,4,4,0,0,4,,,,,"4,739",0,23,"4,762","4,739",0,23,"4,762",60,0,1,61,60,0,4,64,"8,643",203,331,"9,177","8,643",203,331,"9,177",,,,,,,,,9,0,0,9,9,5,4,18,,,,,,,,,"45,829",179,82,"46,090",35,,,,,,,,,,,,,,,1,20,2,15,4,4,,,,1,1,1,35,,,,,,,,,,"1,250",50,510,336,42,,,65,6,,,,,,,,,,,,,,,,,,,,,,,,,109,2,,,,,,,51,51,,,25,7,32,20,8,,,,,,,,,40,,,,1,,,,,,,1,0,,,,1,,,1,,,,,,,0,,,,,,,,,,,1,2,1,,,,,1,0,,,,,,,,0,,,0,,,,,309,0,0,0
L0004,Alfred & Plantagenet Twp,2013,Southern Ontario Library Service,Public or Union Library,C.P. 10 ,1963 rue de l'H¿tel de Ville C.P. 10 ,Lefaivre,Ontario,K0B1J0,www.alfred-plantagenet.ca,984,"18,233","13,936","1,729",,"15,665","291,583",,,,,672,,,,,672,,"23,554","24,030",,"355,504","1,424",,,"8,990","10,414","39,767","39,767",,"182,141","1,245","55,856","5,522",,"8,583","16,241",,,"11,468","320,823","26,861",71,260,0,331,93,509,0,602,8,4,2,14,,,,,,,,,,,,,,,,,"9,278","28,955",5,"38,238","11,340","40,669",5,"52,014","1,354",703,0,"2,057","1,772",703,0,"2,475","50,182","1,003",331,"51,516","55,428","1,003",331,"56,762",,,,,,,,,,,,,9,5,4,18,,,,,,,,,"45,829",179,82,"46,090",35,,1,,,,,,,,,6,76.5,1,27,,,1,2,25,25,24,,,1,1,,,5,76,,,,,,,,"44,673",131,"1,046",,,998,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,7,310,276,276,,656,101,757,26,87,,16,73,,1,,5,2,459,,6,,1,,,,,,,,0,,,0,,,,,,,,,,,,1,1,1,,,,,,,,1,2,,1,,,,1,,1,,,1,,,,,1,"98,000",0,,,,,"8,094",0,0,"4,195"
L0391,Algonquins of Pikwakanagan FN,2013,Southern Ontario Library Service,First Nations Library,1657 A Mishomis Inamo ,1657 A Mishomis Inamo ,Golden Lake,Ontario,K0J1X0,http://algonquinsofpikwakanagan.com/library.php,88,0,"2,388",,"13,000","15,388",,,,"1,073",,,,,,"1,000","2,073","7,026",0,0,"2,746","27,233",0,0,0,,0,"1,830","1,830",0,"19,826",887,205,"1,001","2,746",715,0,0,,23,"27,233",0,12,0,0,12,212,0,0,212,8,4,2,14,36,0,0,36,36,0,0,36,0,0,0,0,0,0,0,0,"5,626",0,0,"5,626","5,626",0,0,"5,626",115,0,0,115,115,0,0,115,"3,113",203,331,"3,647","3,113",203,331,"3,647",0,0,0,0,0,0,0,0,12,0,0,12,9,5,4,18,0,0,0,0,0,0,0,0,"45,829",179,82,"46,090",35,,,,,,,,,,,,,,,1,20,,,6,6,,,,1,1,1,20,,,,,,,,,,"1,100",23,342,,,90,18,,,,,,,,,,,,,,,,,,,,,,,,,65,2,12,2,175,1,,,,,,,,,22,,22,43,19,,,5,,7,,,,29,,,,1,1,,,,,,,0,,,0,,,,,,,,,,,0,,,,,,,,,,,1,1,,1,,,,,0,,,,,,,,0,,,0,,,,,460,0,0,0
L0487,Alnwick/Haldimand Twp,2013,Southern Ontario Library Service,Public or Union Library,2363 County Road 23 ,,Grafton,Ontario,K0K2G0,www.alnwickhaldimand.ca,"1,323",0,"13,478","3,273",,"16,751","148,809",,,,,245,,,,"20,210","20,455","2,275",961,"1,231","4,029","194,511",,,,,,"32,442","28,262","4,180","122,374","1,066","7,653","3,103",958,564,"18,203",,,"8,148","194,511",,89,0,0,89,204,0,0,204,8,4,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,832",0,0,"29,832","29,982",0,0,"29,982",983,0,0,983,983,0,0,983,"51,928",800,331,"53,059","52,315",800,331,"53,446",0,0,0,0,0,0,0,0,23,0,0,23,9,5,4,18,0,0,0,0,0,0,0,0,"45,829",179,82,"46,090",32.5,,,,,,,,,,,,,,,7,83,,,15,15,3,4,3,1,1,,,3,43,,,,,,,,"29,461",55,634,,,53,8,276,21,,,262,9,,,,,,,,,,,12,12,,,,,,,,,,,,,,,31,5,975,900,"1,167",462,552,24,576,388,49,,37,22,,15,6,5,22,292,,,1,1,,1,,,,1,3,,1,1,,1,,,1,,,,,,,0,,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,0,,,,,"6,617",0,0,"3,052"
L0012,Amaranth Twp,2013,Southern Ontario Library Service,Contracting Municipality,374028 6th Line ,374028 6th Line ,Amaranth,Ontario,L9W0M6,www.amaranth-eastgary.ca,0,"54,000","5,105",,,"5,105","94,048",,,,,,,,,,,,,,,"99,153",,,,,,,,,,,,,,,,,"92,265","6,888","99,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,534",0,0,"1,374"
L0345,Archipelago Twp,2013,Ontario Library Service - North,Contracting Municipality,9 James Street ,,Parry Sound,Ontario,P2A1T4,www.thearchipelago.on.ca,0,0,"15,072",,,"15,072",452,,,,,,,,,,,,,,,"15,524",,,,,,,,,,,,,,,,0,"15,524",,"15,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596,0,0,"3,299"
